Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ERI,Eritrea,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,..,..,549.679009418595,508.645502893208,432.82118848856,441.883345182337,424.534485201781,390.937403247901,249.721319230817,258.891049079481,300.712866604025,289.395470031134,283.488360608017,312.955728690628,285.178833711289,285.269111833531,263.135946897914,268.250164086347,279.469631436114,288.221710511079,..,..
ESP,Spain,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,117.335831659445,118.679357944427,119.709999800738,116.054888695522,119.666570799144,121.854389338024,117.221209498488,119.967902572202,120.562339085655,120.674615988456,120.530180839841,119.225407220538,119.669383653412,119.980696624922,121.294926579602,119.375849095069,114.479609419591,112.395781391288,107.52043887975,101.788606923602,103.237123673055,..
EST,Estonia,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,622.495958970088,615.667040150743,569.01584461627,473.879969349449,500.995977677197,448.298971579403,466.875736722772,411.322701633917,372.664218636882,349.958036702774,312.901190004262,300.82965497968,266.832157815417,273.366759402493,259.522780988527,231.842149432222,204.558357895416,213.575068560688,217.62362953553,220.608205313549,249.813234034217,..
ETH,Ethiopia,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,564.115099338223,627.009154751046,697.300909454004,606.316636217396,608.654142850789,592.339268413535,542.019268353698,536.083698051943,572.860991422835,556.675335598256,539.021769338859,516.744065921507,521.866304006728,548.935533000823,495.603985814706,454.63516629716,422.708757178562,526.170845388687,490.413921897719,464.624700876478,..,..
FIN,Finland,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,245.987267482527,265.526246130631,259.24162444597,274.133031183606,282.520303769478,258.599892492459,268.533780946144,262.236946881347,252.059182683603,241.795483276239,228.067081883539,228.342159374238,235.944026094021,245.494230806925,237.019750404406,212.608212603455,221.706836434317,207.728803547252,197.488022242546,202.245633921574,210.55597267423,..
FJI,Fiji,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,114.275112359135,..,..,..,..,..,..,..,..,..,..,..,..,..,188.592473652489,162.535598813021,154.261759674284,145.916399779274,..,..,..,..
FRA,France,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,158.317596336924,165.573428355472,160.342037264573,164.145009073719,154.479278351136,157.477974956679,164.605701560598,156.128090278757,155.623968609757,150.42398752538,146.57970513037,148.769194780694,147.843590862223,149.166122882173,147.583852574292,145.444164812166,140.237669496204,135.572011127284,137.124227887034,135.178101031438,137.372646765516,..
FRO,Faeroe Islands,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
FSM,"Micronesia, Fed. Sts.",EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GAB,Gabon,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,85.0922038118977,82.8068830509929,91.3388847078848,92.8856040078393,81.313127263373,83.762065336173,85.4008414984523,79.7871209297204,82.9146567729036,88.647788355264,89.3647842300588,97.7027655477727,101.155481508425,100.414043080477,100.290859488348,103.949490319093,102.613601482548,104.401887168966,102.063968267198,93.3421624208098,..,..
GBR,United Kingdom,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,151.793753213284,159.199977531079,158.408428672463,156.461745739618,151.108788867739,146.956200371389,148.984435682067,140.173001044258,136.669234940985,132.415021983866,127.939877587242,125.333720414395,119.841541862852,118.594412619663,115.017993229695,112.803279731871,108.076178945662,101.056218323408,100.104723419669,99.4807945349727,101.982441424386,..
GEO,Georgia,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,421.53506117552,432.547686301661,676.006230764629,841.122884162226,581.140246924605,448.036366978081,404.749672997286,321.301743817006,288.275663145803,256.653816939221,259.761327085399,221.868455891279,208.246106137514,199.398781467714,193.625364148163,180.444485683112,176.094188293988,172.801805168092,151.856890838346,167.424628178387,..,..
