,link,date
286,https://creativecommons.org/licenses/by/4.0/,2026-01-09
287,https://en.wikipedia.org/wiki/Distant_reading,2026-01-09
288,https://voyant-tools.org/,2026-01-09
289,https://voyant-tools.org/docs/#!/guide/mirrors,2026-01-09
290,https://github.com/voyanttools/VoyantServer/releases/latest,2026-01-09
291,https://voyant-tools.org/,2026-01-09
292,https://en.wikipedia.org/wiki/Tf%E2%80%93idf,2026-01-09
293,https://voyant-tools.org/docs/#!/guide/corpuscreator,2026-01-09
294,https://www.gutenberg.org/,2026-01-09
295,https://voyant-tools.org/docs/#!/guide/start,2026-01-09
296,https://search.library.uq.edu.au/permalink/f/tbms52/TN_cdi_askewsholts_vlebooks_9780262332071,2026-01-09
297,https://slcladal.github.io/,2026-01-09
298,http://tapor.ca/home,2026-01-09
299,https://seaborn.pydata.org/index.html,2026-01-09
300,https://en.wikipedia.org/wiki/Sam_Seaborn,2026-01-09
301,https://peps.python.org/pep-0008/#code-lay-out,2026-01-09
302,https://seaborn.pydata.org/generated/seaborn.relplot.html,2026-01-09
303,https://matplotlib.org/,2026-01-09
304,https://seaborn.pydata.org/examples/index.html,2026-01-09
305,https://matplotlib.org/stable/gallery/,2026-01-09
306,https://seaborn.pydata.org/api.html,2026-01-09
307,https://seaborn.pydata.org/tutorial.html,2026-01-09
308,https://seaborn.pydata.org/index.html,2026-01-09
309,https://matplotlib.org/stable/index.html,2026-01-09
310,https://github.com/uqlibrary/technology-training/blob/master/Python/useful_links.md,2026-01-09
311,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.vlines.html,2026-01-09
312,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.vlines.html,2026-01-09
313,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.legend.html,2026-01-09
314,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.xlabel.html,2026-01-09
315,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.fill_between.html,2026-01-09
316,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.fill_between.html,2026-01-09
317,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_ind.html,2026-01-09
318,https://seaborn.pydata.org/generated/seaborn.catplot.html,2026-01-09
319,https://uqlibrary.github.io/technology-training/Python/2-data_processing/data/gapminder.csv,2026-01-09
320,https://docs.scipy.org/doc/scipy/reference/stats.html,2026-01-09
321,https://www.statsmodels.org/stable/index.html,2026-01-09
322,https://seaborn.pydata.org/index.html,2026-01-09
323,https://matplotlib.org/stable/index.html,2026-01-09
324,https://github.com/uqlibrary/technology-training/blob/master/Python/useful_links.md,2026-01-09
325,https://www.anaconda.com/download/success,2026-01-09
326,https://docs.python.org/3/library/exceptions.html,2026-01-09
327,https://github.com/ipython/ipython/issues/13598,2026-01-09
328,https://www.anaconda.com/products/distribution,2026-01-09
329,https://github.com/uqlibrary/technology-training/blob/4ea3e86ab8f6f43a73c3b3a44d63a00ac8d366f8/Python/revamp/data_transformation.md,2026-01-09
330,https://docs.python.org/,2026-01-09
331,https://stackoverflow.com/questions/tagged/python,2026-01-09
332,https://docs.python.org/3/library/functions.html#input,2026-01-09
333,https://github.com/uqlibrary/technology-training/blob/55946e771a59b0d82e02e69b25917ad5a0ca5588/Python/revamp/data_transformation.md,2026-01-09
334,https://uqpug.github.io/,2026-01-09
335,https://uqpug.github.io/,2026-01-09
336,https://pandas.pydata.org/,2026-01-09
337,https://pandas.pydata.org/docs/getting_started/index.html,2026-01-09
338,https://pandas.pydata.org/docs/user_guide/10min.html,2026-01-09
339,https://pandas.pydata.org/docs/user_guide/index.html,2026-01-09
340,https://altair-viz.github.io/,2026-01-09
341,https://docs.bokeh.org/en/latest/,2026-01-09
342,https://vega.github.io/vega/,2026-01-09
343,https://matplotlib.org/,2026-01-09
344,https://github.com/uqlibrary/technology-training/blob/master/Python/useful_links.md,2026-01-09
345,https://my.uq.edu.au/information-and-services/information-technology/software-and-web-apps/uq-software-catalogue/adobe-software,2026-01-09
346,https://github.com/uqlibrary/technology-training-assets/raw/master/Premiere_Pro/Premiere_Pro_Video_Editing_Basics.pdf,2026-01-09
347,https://github.com/uqlibrary/technology-training-assets/raw/master/Premiere_Pro/Adobe%20Premier%20Pro.zip,2026-01-09
348,https://github.com/uqlibrary/technology-training/blob/master/Git/installation.md,2026-01-09
349,https://github.com/chrisburr/analysis-essentials-1/blob/master/git/fig/git-staging-area.svg,2026-01-09
350,https://github.com/chrisburr/analysis-essentials-1/blob/master/git/fig/git-committing.svg,2026-01-09
351,https://github.com/chrisburr/analysis-essentials-1/blob/master/git/fig/git-checkout.svg,2026-01-09
352,https://github.com,2026-01-09
353,http://swcarpentry.github.io/git-novice/,2026-01-09
354,http://carpentries.org/,2026-01-09
355,https://software-carpentry.org/license/,2026-01-09
356,https://creativecommons.org/licenses/by/4.0/legalcode,2026-01-09
357,https://docs.github.com/en/get-started/signing-up-for-github/signing-up-for-a-new-github-account,2026-01-09
358,https://docs.github.com/en/desktop/installing-and-configuring-github-desktop/installing-and-authenticating-to-github-desktop/installing-github-desktop,2026-01-09
359,https://choosealicense.com/,2026-01-09
360,https://user-images.githubusercontent.com/67612228/182783554-5abc6679-8e1e-4fcd-bae3-9347bb46e72a.png,2026-01-09
361,https://user-images.githubusercontent.com/67612228/204198875-83895e12-ff53-4454-b9c8-9ab358938737.png,2026-01-09
362,https://docs.github.com/en/get-started/writing-on-github/getting-started-with-writing-and-formatting-on-github/basic-writing-and-formatting-syntax,2026-01-09
